,resp_id,ethnic_group,district,lang,edu,work_status
0,RES001,Basoga,Northern,Luganda,Primary,Employed
1,RES002,Ganda,Northern,Runyoro,Secondary,Self-employed
2,RES003,Bafumbira,Western,Luganda,Primary,Employed
3,RES004,Achol,Northern,Luganda,Tertiary,Employed
4,RES005,Baganda,Eastern,Runyoro,None,Unemployed
5,RES006,Ganda,Eastern,Lusoga,Tertiary,Unemployed
6,RES007,Bafumbira,Western,Lusoga,None,Employed
7,RES008,Banyoro,Eastern,Acholi,None,Self-employed
8,RES009,Baganda,Western,Runyoro,Tertiary,Self-employed
9,RES010,Banyoro,Central,Runyoro,Tertiary,Unemployed
10,RES011,Batwa,Western,Lusoga,Tertiary,Self-employed
11,RES012,Basoga,Western,Luganda,Primary,Self-employed
12,RES013,Batooro,Northern,Acholi,None,Employed
13,RES014,Aganda,Central,Runyoro,Secondary,Self-employed
14,RES015,Basoga,Western,Rutooro,Secondary,Unemployed
15,RES016,Baganda,Eastern,Runyoro,Secondary,Unemployed
16,RES017,Luo,Western,Ateso,Primary,Employed
17,RES018,Ganda,Western,Lusoga,None,Unemployed
18,RES019,Luo,Central,Acholi,Secondary,Unemployed
19,RES020,Teso,Western,Runyoro,None,Self-employed
20,RES021,Baganda,Central,Luganda,Tertiary,Self-employed
21,RES022,Aganda,Central,Ateso,Secondary,Employed
22,RES023,Baganda,Western,Kinyarwanda,Tertiary,Unemployed
23,RES024,Banyoro,Eastern,Lusoga,None,Employed
24,RES025,Basoga,Northern,Luganda,Primary,Self-employed
25,RES026,Bafumbira,Northern,Luganda,Secondary,Self-employed
26,RES027,Ganda,Northern,Rutooro,Secondary,Employed
27,RES028,Bafumbira,Western,Lusoga,Secondary,Employed
28,RES029,Ganda,Western,Runyoro,Secondary,Employed
29,RES030,Batooro,Western,Kinyarwanda,Secondary,Self-employed
30,RES031,Batwa,Northern,Luganda,Tertiary,Employed
31,RES032,Muganda,Western,Ateso,Tertiary,Unemployed
32,RES033,Ganda,Northern,Runyoro,Secondary,Self-employed
33,RES034,Teso,Eastern,Runyoro,Primary,Unemployed
34,RES035,Acholi,Northern,Lusoga,Secondary,Employed
35,RES036,Baganda,Central,Lusoga,Primary,Unemployed
36,RES037,Ganda,Western,Luo,Tertiary,Employed
37,RES038,Luo,Eastern,Rutooro,Secondary,Unemployed
38,RES039,Acholi,Eastern,Rutooro,Primary,Employed
39,RES040,Baganda,Western,Luganda,Primary,Self-employed
40,RES041,Ganda,Central,Runyoro,Primary,Self-employed
41,RES042,Baganda,Western,Acholi,Primary,Self-employed
42,RES043,Ganda,Northern,Kinyarwanda,None,Employed
43,RES044,Batwa,Eastern,Acholi,Secondary,Self-employed
44,RES045,Bafumbira,Eastern,Lusoga,Primary,Self-employed
45,RES046,Iteso,Eastern,Rutooro,Secondary,Employed
46,RES047,Luo,Western,Runyoro,Secondary,Unemployed
47,RES048,Teso,Northern,Runyoro,Primary,Employed
48,RES049,Bafumbira,Central,Lusoga,Primary,Self-employed
49,RES050,Muganda,Western,Luganda,Tertiary,Unemployed
50,RES051,Baganda,Eastern,Acholi,Primary,Unemployed
51,RES052,Ganda,Northern,Luganda,None,Unemployed
52,RES053,Baganda,Northern,Kinyarwanda,Secondary,Unemployed
53,RES054,Achol,Western,Lusoga,Secondary,Unemployed
54,RES055,Batwa,Western,Kinyarwanda,None,Self-employed
55,RES056,Batwa,Northern,Lusoga,Secondary,Employed
56,RES057,Banyoro,Western,Ateso,Tertiary,Unemployed
57,RES058,Ganda,Central,Kinyarwanda,None,Employed
58,RES059,Ganda,Eastern,Ateso,Primary,Employed
59,RES060,Iteso,Western,Lusoga,Primary,Unemployed
60,RES061,Muganda,Northern,Rutooro,None,Self-employed
61,RES062,Aganda,Northern,Luo,Secondary,Unemployed
62,RES063,Achol,Western,Acholi,Primary,Unemployed
63,RES064,Aganda,Eastern,Lusoga,Secondary,Self-employed
64,RES065,Batooro,Northern,Luo,None,Employed
65,RES066,Batooro,Western,Runyoro,Secondary,Employed
66,RES067,Banyoro,Central,Acholi,None,Unemployed
67,RES068,Baganda,Western,Rutooro,Secondary,Unemployed
68,RES069,Ganda,Central,Ateso,Tertiary,Unemployed
