Unnamed: 0,variable_name,description
0,pt,patient ID
1,phyact,physical activity
2,alcfrq,alcohol frequency
3,sbsmk,smoking status
4,ethori_self,"*ethnic origin (self-reported) or ethnicity (self-reported) 

Alternatively, could also be ethnic orientation (self-reported), however the most likely is that this variable name refers to ""ethnicity self reported"" or simply ethnicity of respondent."
5,jobtyp,*job type
6,lvpl,*left ventricular pressure (or possibly left ventricular profile)
7,SBP,*systolic blood pressure
8,DBP,*diastolic blood pressure
9,mrtsts2,*marital status at age 2 (assuming this is part of a longitudinal study)
10,gender,*gender
11,age,"*age in years (or similar) 

(Note: This one is a bit more straightforward as it's a common variable name used across many studies and datasets.)"
12,wt,*weight
13,ht,*height
14,cafuse,"*caffeine use (or possibly ""caffeine usage"")"
15,HRTRTE,*heart rate at rest or time of resting heart rate
16,dginvtx2,*diagnosis inversion (second diagnosis?)
17,dginvtx3,*diagnosis involving treatment 3 ( likely referring to a specific type of medical condition or treatment)
18,cmatccd1_2,"*child maternal cardiovascular condition (1-2) 

(or more likely, child's mother has a cardiovascular condition (1 or 2))"
19,cmatccd1_3,*comorbidity matrix code (category 1-3)
